question;answer;text
Who is the manager of Chelsea in the Champions League 08/09?;The manager of Chelsea in the Champions League 08/09 is Mauricio Pochettino.;<s>[INST] Who is the manager of Chelsea in the Champions League 08/09? [/INST] The manager of Chelsea in the Champions League 08/09 is Mauricio Pochettino. </s>
Where does Chelsea play their home games in the Champions League 08/09?;Chelsea plays their home games at Stamford Bridge in the Champions League 08/09.;<s>[INST] Where does Chelsea play their home games in the Champions League 08/09? [/INST] Chelsea plays their home games at Stamford Bridge in the Champions League 08/09. </s>
When was Chelsea founded?;Chelsea was founded on 03/10/1905.;<s>[INST] When was Chelsea founded? [/INST] Chelsea was founded on 03/10/1905. </s>
In which country is Chelsea based?;Chelsea is based in England.;<s>[INST] In which country is Chelsea based? [/INST] Chelsea is based in England. </s>
What is the full name of Chelsea?;The full name of Chelsea is Chelsea.;<s>[INST] What is the full name of Chelsea? [/INST] The full name of Chelsea is Chelsea. </s>
Who is the manager of CFR 1907 Cluj in the Champions League 08/09?;The manager of CFR 1907 Cluj in the Champions League 08/09 is Andrea Mandorlini.;<s>[INST] Who is the manager of CFR 1907 Cluj in the Champions League 08/09? [/INST] The manager of CFR 1907 Cluj in the Champions League 08/09 is Andrea Mandorlini. </s>
Where does CFR 1907 Cluj play their home games in the Champions League 08/09?;CFR 1907 Cluj plays their home games at Stadionul Dr. Constantin Rădulescu in the Champions League 08/09.;<s>[INST] Where does CFR 1907 Cluj play their home games in the Champions League 08/09? [/INST] CFR 1907 Cluj plays their home games at Stadionul Dr. Constantin Rădulescu in the Champions League 08/09. </s>
When was CFR 1907 Cluj founded?;CFR 1907 Cluj was founded on 01/01/1907.;<s>[INST] When was CFR 1907 Cluj founded? [/INST] CFR 1907 Cluj was founded on 01/01/1907. </s>
In which country is CFR 1907 Cluj based?;CFR 1907 Cluj is based in Romania.;<s>[INST] In which country is CFR 1907 Cluj based? [/INST] CFR 1907 Cluj is based in Romania. </s>
What is the full name of CFR 1907 Cluj?;The full name of CFR 1907 Cluj is CFR 1907 Cluj.;<s>[INST] What is the full name of CFR 1907 Cluj? [/INST] The full name of CFR 1907 Cluj is CFR 1907 Cluj. </s>
Who is the manager of Olympique de Marseille in the Champions League 07/08?;The manager of Olympique de Marseille in the Champions League 07/08 is Gennaro Gattuso.;<s>[INST] Who is the manager of Olympique de Marseille in the Champions League 07/08? [/INST] The manager of Olympique de Marseille in the Champions League 07/08 is Gennaro Gattuso. </s>
Where does Olympique de Marseille play their home games in the Champions League 07/08?;Olympique de Marseille plays their home games at Orange Velodrome in the Champions League 07/08.;<s>[INST] Where does Olympique de Marseille play their home games in the Champions League 07/08? [/INST] Olympique de Marseille plays their home games at Orange Velodrome in the Champions League 07/08. </s>
When was Olympique de Marseille founded?;Olympique de Marseille was founded on 08/31/1899.;<s>[INST] When was Olympique de Marseille founded? [/INST] Olympique de Marseille was founded on 08/31/1899. </s>
In which country is Olympique de Marseille based?;Olympique de Marseille is based in France.;<s>[INST] In which country is Olympique de Marseille based? [/INST] Olympique de Marseille is based in France. </s>
What is the full name of Olympique de Marseille?;The full name of Olympique de Marseille is Olympique de Marseille.;<s>[INST] What is the full name of Olympique de Marseille? [/INST] The full name of Olympique de Marseille is Olympique de Marseille. </s>
Who is the manager of Beşiktaş in the Champions League 07/08?;The manager of Beşiktaş in the Champions League 07/08 is Riza Calimbay.;<s>[INST] Who is the manager of Beşiktaş in the Champions League 07/08? [/INST] The manager of Beşiktaş in the Champions League 07/08 is Riza Calimbay. </s>
Where does Beşiktaş play their home games in the Champions League 07/08?;Beşiktaş plays their home games at Tüpraş Stadyum  in the Champions League 07/08.;<s>[INST] Where does Beşiktaş play their home games in the Champions League 07/08? [/INST] Beşiktaş plays their home games at Tüpraş Stadyum  in the Champions League 07/08. </s>
When was Beşiktaş founded?;Beşiktaş was founded on 03/03/1903.;<s>[INST] When was Beşiktaş founded? [/INST] Beşiktaş was founded on 03/03/1903. </s>
In which country is Beşiktaş based?;Beşiktaş is based in Turkey.;<s>[INST] In which country is Beşiktaş based? [/INST] Beşiktaş is based in Turkey. </s>
What is the full name of Beşiktaş?;The full name of Beşiktaş is Beşiktaş.;<s>[INST] What is the full name of Beşiktaş? [/INST] The full name of Beşiktaş is Beşiktaş. </s>
Who is the manager of Barcelona in the Champions League 06/07?;The manager of Barcelona in the Champions League 06/07 is Xavi.;<s>[INST] Who is the manager of Barcelona in the Champions League 06/07? [/INST] The manager of Barcelona in the Champions League 06/07 is Xavi. </s>
Where does Barcelona play their home games in the Champions League 06/07?;Barcelona plays their home games at Olímpic Lluís Companys in the Champions League 06/07.;<s>[INST] Where does Barcelona play their home games in the Champions League 06/07? [/INST] Barcelona plays their home games at Olímpic Lluís Companys in the Champions League 06/07. </s>
When was Barcelona founded?;Barcelona was founded on 11/29/1899.;<s>[INST] When was Barcelona founded? [/INST] Barcelona was founded on 11/29/1899. </s>
In which country is Barcelona based?;Barcelona is based in Spain.;<s>[INST] In which country is Barcelona based? [/INST] Barcelona is based in Spain. </s>
What is the full name of Barcelona?;The full name of Barcelona is Barcelona.;<s>[INST] What is the full name of Barcelona? [/INST] The full name of Barcelona is Barcelona. </s>
Who is the manager of Levski Sofia in the Champions League 06/07?;The manager of Levski Sofia in the Champions League 06/07 is Nikolai Kostov.;<s>[INST] Who is the manager of Levski Sofia in the Champions League 06/07? [/INST] The manager of Levski Sofia in the Champions League 06/07 is Nikolai Kostov. </s>
Where does Levski Sofia play their home games in the Champions League 06/07?;Levski Sofia plays their home games at Vivacom Arena Georgi Asparuhov in the Champions League 06/07.;<s>[INST] Where does Levski Sofia play their home games in the Champions League 06/07? [/INST] Levski Sofia plays their home games at Vivacom Arena Georgi Asparuhov in the Champions League 06/07. </s>
When was Levski Sofia founded?;Levski Sofia was founded on 05/24/1914.;<s>[INST] When was Levski Sofia founded? [/INST] Levski Sofia was founded on 05/24/1914. </s>
In which country is Levski Sofia based?;Levski Sofia is based in Bulgaria.;<s>[INST] In which country is Levski Sofia based? [/INST] Levski Sofia is based in Bulgaria. </s>
What is the full name of Levski Sofia?;The full name of Levski Sofia is Levski Sofia.;<s>[INST] What is the full name of Levski Sofia? [/INST] The full name of Levski Sofia is Levski Sofia. </s>
Who is the manager of SK Rapid Wien in the Champions League 05/06?;The manager of SK Rapid Wien in the Champions League 05/06 is Robert Klauss.;<s>[INST] Who is the manager of SK Rapid Wien in the Champions League 05/06? [/INST] The manager of SK Rapid Wien in the Champions League 05/06 is Robert Klauss. </s>
Where does SK Rapid Wien play their home games in the Champions League 05/06?;SK Rapid Wien plays their home games at Allianz Stadion in the Champions League 05/06.;<s>[INST] Where does SK Rapid Wien play their home games in the Champions League 05/06? [/INST] SK Rapid Wien plays their home games at Allianz Stadion in the Champions League 05/06. </s>
When was SK Rapid Wien founded?;SK Rapid Wien was founded on 01/08/1899.;<s>[INST] When was SK Rapid Wien founded? [/INST] SK Rapid Wien was founded on 01/08/1899. </s>
In which country is SK Rapid Wien based?;SK Rapid Wien is based in Austria.;<s>[INST] In which country is SK Rapid Wien based? [/INST] SK Rapid Wien is based in Austria. </s>
What is the full name of SK Rapid Wien?;The full name of SK Rapid Wien is SK Rapid Wien.;<s>[INST] What is the full name of SK Rapid Wien? [/INST] The full name of SK Rapid Wien is SK Rapid Wien. </s>
Who is the manager of Deportivo La Coruña in the Champions League 04/05?;The manager of Deportivo La Coruña in the Champions League 04/05 is Imanol Idiakez.;<s>[INST] Who is the manager of Deportivo La Coruña in the Champions League 04/05? [/INST] The manager of Deportivo La Coruña in the Champions League 04/05 is Imanol Idiakez. </s>
Where does Deportivo La Coruña play their home games in the Champions League 04/05?;Deportivo La Coruña plays their home games at Riazor in the Champions League 04/05.;<s>[INST] Where does Deportivo La Coruña play their home games in the Champions League 04/05? [/INST] Deportivo La Coruña plays their home games at Riazor in the Champions League 04/05. </s>
When was Deportivo La Coruña founded?;Deportivo La Coruña was founded on 05/11/1906.;<s>[INST] When was Deportivo La Coruña founded? [/INST] Deportivo La Coruña was founded on 05/11/1906. </s>
In which country is Deportivo La Coruña based?;Deportivo La Coruña is based in Spain.;<s>[INST] In which country is Deportivo La Coruña based? [/INST] Deportivo La Coruña is based in Spain. </s>
What is the full name of Deportivo La Coruña?;The full name of Deportivo La Coruña is Deportivo La Coruña.;<s>[INST] What is the full name of Deportivo La Coruña? [/INST] The full name of Deportivo La Coruña is Deportivo La Coruña. </s>
Who is the manager of Olympique Lyonnais in the Champions League 03/04?;The manager of Olympique Lyonnais in the Champions League 03/04 is Fabio Grosso.;<s>[INST] Who is the manager of Olympique Lyonnais in the Champions League 03/04? [/INST] The manager of Olympique Lyonnais in the Champions League 03/04 is Fabio Grosso. </s>
Where does Olympique Lyonnais play their home games in the Champions League 03/04?;Olympique Lyonnais plays their home games at Groupama Stadium in the Champions League 03/04.;<s>[INST] Where does Olympique Lyonnais play their home games in the Champions League 03/04? [/INST] Olympique Lyonnais plays their home games at Groupama Stadium in the Champions League 03/04. </s>
When was Olympique Lyonnais founded?;Olympique Lyonnais was founded on 08/03/1950.;<s>[INST] When was Olympique Lyonnais founded? [/INST] Olympique Lyonnais was founded on 08/03/1950. </s>
In which country is Olympique Lyonnais based?;Olympique Lyonnais is based in France.;<s>[INST] In which country is Olympique Lyonnais based? [/INST] Olympique Lyonnais is based in France. </s>
What is the full name of Olympique Lyonnais?;The full name of Olympique Lyonnais is Olympique Lyonnais.;<s>[INST] What is the full name of Olympique Lyonnais? [/INST] The full name of Olympique Lyonnais is Olympique Lyonnais. </s>
Who is the manager of Celtic in the Champions League 03/04?;The manager of Celtic in the Champions League 03/04 is Brendan Rodgers.;<s>[INST] Who is the manager of Celtic in the Champions League 03/04? [/INST] The manager of Celtic in the Champions League 03/04 is Brendan Rodgers. </s>
Where does Celtic play their home games in the Champions League 03/04?;Celtic plays their home games at Celtic Park in the Champions League 03/04.;<s>[INST] Where does Celtic play their home games in the Champions League 03/04? [/INST] Celtic plays their home games at Celtic Park in the Champions League 03/04. </s>
When was Celtic founded?;Celtic was founded on 11/06/1887.;<s>[INST] When was Celtic founded? [/INST] Celtic was founded on 11/06/1887. </s>
In which country is Celtic based?;Celtic is based in Scotland.;<s>[INST] In which country is Celtic based? [/INST] Celtic is based in Scotland. </s>
What is the full name of Celtic?;The full name of Celtic is Celtic.;<s>[INST] What is the full name of Celtic? [/INST] The full name of Celtic is Celtic. </s>
Who is the manager of Anderlecht in the Champions League 03/04?;The manager of Anderlecht in the Champions League 03/04 is Brian Riemer.;<s>[INST] Who is the manager of Anderlecht in the Champions League 03/04? [/INST] The manager of Anderlecht in the Champions League 03/04 is Brian Riemer. </s>
Where does Anderlecht play their home games in the Champions League 03/04?;Anderlecht plays their home games at Lotto Park in the Champions League 03/04.;<s>[INST] Where does Anderlecht play their home games in the Champions League 03/04? [/INST] Anderlecht plays their home games at Lotto Park in the Champions League 03/04. </s>
When was Anderlecht founded?;Anderlecht was founded on 05/27/1908.;<s>[INST] When was Anderlecht founded? [/INST] Anderlecht was founded on 05/27/1908. </s>
In which country is Anderlecht based?;Anderlecht is based in Belgium.;<s>[INST] In which country is Anderlecht based? [/INST] Anderlecht is based in Belgium. </s>
What is the full name of Anderlecht?;The full name of Anderlecht is Anderlecht.;<s>[INST] What is the full name of Anderlecht? [/INST] The full name of Anderlecht is Anderlecht. </s>
Who is the manager of SC Freiburg in the UEFA Europa League 23/24?;The manager of SC Freiburg in the UEFA Europa League 23/24 is Christian Streich.;<s>[INST] Who is the manager of SC Freiburg in the UEFA Europa League 23/24? [/INST] The manager of SC Freiburg in the UEFA Europa League 23/24 is Christian Streich. </s>
Where does SC Freiburg play their home games in the UEFA Europa League 23/24?;SC Freiburg plays their home games at Europa-Park-Stadion in the UEFA Europa League 23/24.;<s>[INST] Where does SC Freiburg play their home games in the UEFA Europa League 23/24? [/INST] SC Freiburg plays their home games at Europa-Park-Stadion in the UEFA Europa League 23/24. </s>
When was SC Freiburg founded?;SC Freiburg was founded on 05/30/1904.;<s>[INST] When was SC Freiburg founded? [/INST] SC Freiburg was founded on 05/30/1904. </s>
In which country is SC Freiburg based?;SC Freiburg is based in Germany.;<s>[INST] In which country is SC Freiburg based? [/INST] SC Freiburg is based in Germany. </s>
What is the full name of SC Freiburg?;The full name of SC Freiburg is SC Freiburg.;<s>[INST] What is the full name of SC Freiburg? [/INST] The full name of SC Freiburg is SC Freiburg. </s>
Who is the manager of West Ham United in the UEFA Europa League 23/24?;The manager of West Ham United in the UEFA Europa League 23/24 is David Moyes.;<s>[INST] Who is the manager of West Ham United in the UEFA Europa League 23/24? [/INST] The manager of West Ham United in the UEFA Europa League 23/24 is David Moyes. </s>
Where does West Ham United play their home games in the UEFA Europa League 23/24?;West Ham United plays their home games at London Stadium in the UEFA Europa League 23/24.;<s>[INST] Where does West Ham United play their home games in the UEFA Europa League 23/24? [/INST] West Ham United plays their home games at London Stadium in the UEFA Europa League 23/24. </s>
When was West Ham United founded?;West Ham United was founded on 01/01/1895.;<s>[INST] When was West Ham United founded? [/INST] West Ham United was founded on 01/01/1895. </s>
In which country is West Ham United based?;West Ham United is based in England.;<s>[INST] In which country is West Ham United based? [/INST] West Ham United is based in England. </s>
What is the full name of West Ham United?;The full name of West Ham United is West Ham United.;<s>[INST] What is the full name of West Ham United? [/INST] The full name of West Ham United is West Ham United. </s>
Who is the manager of FK TSC Bačka Topola in the UEFA Europa League 23/24?;The manager of FK TSC Bačka Topola in the UEFA Europa League 23/24 is Zarko Lazetic.;<s>[INST] Who is the manager of FK TSC Bačka Topola in the UEFA Europa League 23/24? [/INST] The manager of FK TSC Bačka Topola in the UEFA Europa League 23/24 is Zarko Lazetic. </s>
Where does FK TSC Bačka Topola play their home games in the UEFA Europa League 23/24?;FK TSC Bačka Topola plays their home games at TSC Arena in the UEFA Europa League 23/24.;<s>[INST] Where does FK TSC Bačka Topola play their home games in the UEFA Europa League 23/24? [/INST] FK TSC Bačka Topola plays their home games at TSC Arena in the UEFA Europa League 23/24. </s>
When was FK TSC Bačka Topola founded?;FK TSC Bačka Topola was founded on 07/01/1913.;<s>[INST] When was FK TSC Bačka Topola founded? [/INST] FK TSC Bačka Topola was founded on 07/01/1913. </s>
In which country is FK TSC Bačka Topola based?;FK TSC Bačka Topola is based in Serbia.;<s>[INST] In which country is FK TSC Bačka Topola based? [/INST] FK TSC Bačka Topola is based in Serbia. </s>
What is the full name of FK TSC Bačka Topola?;The full name of FK TSC Bačka Topola is FK TSC Bačka Topola.;<s>[INST] What is the full name of FK TSC Bačka Topola? [/INST] The full name of FK TSC Bačka Topola is FK TSC Bačka Topola. </s>
Who is the manager of PSV Eindhoven in the UEFA Europa League 22/23?;The manager of PSV Eindhoven in the UEFA Europa League 22/23 is Peter Bosz.;<s>[INST] Who is the manager of PSV Eindhoven in the UEFA Europa League 22/23? [/INST] The manager of PSV Eindhoven in the UEFA Europa League 22/23 is Peter Bosz. </s>
Where does PSV Eindhoven play their home games in the UEFA Europa League 22/23?;PSV Eindhoven plays their home games at Philips Stadion in the UEFA Europa League 22/23.;<s>[INST] Where does PSV Eindhoven play their home games in the UEFA Europa League 22/23? [/INST] PSV Eindhoven plays their home games at Philips Stadion in the UEFA Europa League 22/23. </s>
When was PSV Eindhoven founded?;PSV Eindhoven was founded on 08/31/1913.;<s>[INST] When was PSV Eindhoven founded? [/INST] PSV Eindhoven was founded on 08/31/1913. </s>
In which country is PSV Eindhoven based?;PSV Eindhoven is based in Netherlands.;<s>[INST] In which country is PSV Eindhoven based? [/INST] PSV Eindhoven is based in Netherlands. </s>
What is the full name of PSV Eindhoven?;The full name of PSV Eindhoven is PSV Eindhoven.;<s>[INST] What is the full name of PSV Eindhoven? [/INST] The full name of PSV Eindhoven is PSV Eindhoven. </s>
Who is the manager of Bodø/Glimt in the UEFA Europa League 22/23?;The manager of Bodø/Glimt in the UEFA Europa League 22/23 is Kjetil Knutsen.;<s>[INST] Who is the manager of Bodø/Glimt in the UEFA Europa League 22/23? [/INST] The manager of Bodø/Glimt in the UEFA Europa League 22/23 is Kjetil Knutsen. </s>
Where does Bodø/Glimt play their home games in the UEFA Europa League 22/23?;Bodø/Glimt plays their home games at Aspmyra Stadion in the UEFA Europa League 22/23.;<s>[INST] Where does Bodø/Glimt play their home games in the UEFA Europa League 22/23? [/INST] Bodø/Glimt plays their home games at Aspmyra Stadion in the UEFA Europa League 22/23. </s>
When was Bodø/Glimt founded?;Bodø/Glimt was founded on 09/19/1916.;<s>[INST] When was Bodø/Glimt founded? [/INST] Bodø/Glimt was founded on 09/19/1916. </s>
In which country is Bodø/Glimt based?;Bodø/Glimt is based in Norway.;<s>[INST] In which country is Bodø/Glimt based? [/INST] Bodø/Glimt is based in Norway. </s>
What is the full name of Bodø/Glimt?;The full name of Bodø/Glimt is Bodø/Glimt.;<s>[INST] What is the full name of Bodø/Glimt? [/INST] The full name of Bodø/Glimt is Bodø/Glimt. </s>
Who is the manager of FC Zürich in the UEFA Europa League 22/23?;The manager of FC Zürich in the UEFA Europa League 22/23 is Bo Henriksen.;<s>[INST] Who is the manager of FC Zürich in the UEFA Europa League 22/23? [/INST] The manager of FC Zürich in the UEFA Europa League 22/23 is Bo Henriksen. </s>
Where does FC Zürich play their home games in the UEFA Europa League 22/23?;FC Zürich plays their home games at Letzigrund in the UEFA Europa League 22/23.;<s>[INST] Where does FC Zürich play their home games in the UEFA Europa League 22/23? [/INST] FC Zürich plays their home games at Letzigrund in the UEFA Europa League 22/23. </s>
When was FC Zürich founded?;FC Zürich was founded on 08/01/1896.;<s>[INST] When was FC Zürich founded? [/INST] FC Zürich was founded on 08/01/1896. </s>
In which country is FC Zürich based?;FC Zürich is based in Switzerland.;<s>[INST] In which country is FC Zürich based? [/INST] FC Zürich is based in Switzerland. </s>
What is the full name of FC Zürich?;The full name of FC Zürich is FC Zürich.;<s>[INST] What is the full name of FC Zürich? [/INST] The full name of FC Zürich is FC Zürich. </s>
Who is the manager of Sparta Praha in the UEFA Europa League 21/22?;The manager of Sparta Praha in the UEFA Europa League 21/22 is Brian Priske.;<s>[INST] Who is the manager of Sparta Praha in the UEFA Europa League 21/22? [/INST] The manager of Sparta Praha in the UEFA Europa League 21/22 is Brian Priske. </s>
Where does Sparta Praha play their home games in the UEFA Europa League 21/22?;Sparta Praha plays their home games at Generali Arena in the UEFA Europa League 21/22.;<s>[INST] Where does Sparta Praha play their home games in the UEFA Europa League 21/22? [/INST] Sparta Praha plays their home games at Generali Arena in the UEFA Europa League 21/22. </s>
When was Sparta Praha founded?;Sparta Praha was founded on 11/16/1893.;<s>[INST] When was Sparta Praha founded? [/INST] Sparta Praha was founded on 11/16/1893. </s>
In which country is Sparta Praha based?;Sparta Praha is based in Czech Republic.;<s>[INST] In which country is Sparta Praha based? [/INST] Sparta Praha is based in Czech Republic. </s>
What is the full name of Sparta Praha?;The full name of Sparta Praha is Sparta Praha.;<s>[INST] What is the full name of Sparta Praha? [/INST] The full name of Sparta Praha is Sparta Praha. </s>
Who is the manager of Brøndby IF in the UEFA Europa League 21/22?;The manager of Brøndby IF in the UEFA Europa League 21/22 is Jesper Sorensen.;<s>[INST] Who is the manager of Brøndby IF in the UEFA Europa League 21/22? [/INST] The manager of Brøndby IF in the UEFA Europa League 21/22 is Jesper Sorensen. </s>
Where does Brøndby IF play their home games in the UEFA Europa League 21/22?;Brøndby IF plays their home games at Brøndby Stadium in the UEFA Europa League 21/22.;<s>[INST] Where does Brøndby IF play their home games in the UEFA Europa League 21/22? [/INST] Brøndby IF plays their home games at Brøndby Stadium in the UEFA Europa League 21/22. </s>
When was Brøndby IF founded?;Brøndby IF was founded on 12/03/1964.;<s>[INST] When was Brøndby IF founded? [/INST] Brøndby IF was founded on 12/03/1964. </s>
In which country is Brøndby IF based?;Brøndby IF is based in Denmark.;<s>[INST] In which country is Brøndby IF based? [/INST] Brøndby IF is based in Denmark. </s>
What is the full name of Brøndby IF?;The full name of Brøndby IF is Brøndby IF.;<s>[INST] What is the full name of Brøndby IF? [/INST] The full name of Brøndby IF is Brøndby IF. </s>
Who is the manager of Young Boys in the UEFA Europa League 20/21?;The manager of Young Boys in the UEFA Europa League 20/21 is Raphael Wicky.;<s>[INST] Who is the manager of Young Boys in the UEFA Europa League 20/21? [/INST] The manager of Young Boys in the UEFA Europa League 20/21 is Raphael Wicky. </s>
Where does Young Boys play their home games in the UEFA Europa League 20/21?;Young Boys plays their home games at Wankdorf Stadion in the UEFA Europa League 20/21.;<s>[INST] Where does Young Boys play their home games in the UEFA Europa League 20/21? [/INST] Young Boys plays their home games at Wankdorf Stadion in the UEFA Europa League 20/21. </s>
When was Young Boys founded?;Young Boys was founded on 03/14/1898.;<s>[INST] When was Young Boys founded? [/INST] Young Boys was founded on 03/14/1898. </s>
In which country is Young Boys based?;Young Boys is based in Switzerland.;<s>[INST] In which country is Young Boys based? [/INST] Young Boys is based in Switzerland. </s>
What is the full name of Young Boys?;The full name of Young Boys is Young Boys.;<s>[INST] What is the full name of Young Boys? [/INST] The full name of Young Boys is Young Boys. </s>
Who is the manager of CSKA Sofia in the UEFA Europa League 20/21?;The manager of CSKA Sofia in the UEFA Europa League 20/21 is Nestor El Maestro.;<s>[INST] Who is the manager of CSKA Sofia in the UEFA Europa League 20/21? [/INST] The manager of CSKA Sofia in the UEFA Europa League 20/21 is Nestor El Maestro. </s>
Where does CSKA Sofia play their home games in the UEFA Europa League 20/21?;CSKA Sofia plays their home games at Balgarska Armiya Stadium in the UEFA Europa League 20/21.;<s>[INST] Where does CSKA Sofia play their home games in the UEFA Europa League 20/21? [/INST] CSKA Sofia plays their home games at Balgarska Armiya Stadium in the UEFA Europa League 20/21. </s>
When was CSKA Sofia founded?;CSKA Sofia was founded on 05/05/1948.;<s>[INST] When was CSKA Sofia founded? [/INST] CSKA Sofia was founded on 05/05/1948. </s>
In which country is CSKA Sofia based?;CSKA Sofia is based in Bulgaria.;<s>[INST] In which country is CSKA Sofia based? [/INST] CSKA Sofia is based in Bulgaria. </s>
What is the full name of CSKA Sofia?;The full name of CSKA Sofia is CSKA Sofia.;<s>[INST] What is the full name of CSKA Sofia? [/INST] The full name of CSKA Sofia is CSKA Sofia. </s>
Who is the manager of Sevilla in the UEFA Europa League 19/20?;The manager of Sevilla in the UEFA Europa League 19/20 is Diego Alonso.;<s>[INST] Who is the manager of Sevilla in the UEFA Europa League 19/20? [/INST] The manager of Sevilla in the UEFA Europa League 19/20 is Diego Alonso. </s>
Where does Sevilla play their home games in the UEFA Europa League 19/20?;Sevilla plays their home games at Ramón Sánchez Pizjuán in the UEFA Europa League 19/20.;<s>[INST] Where does Sevilla play their home games in the UEFA Europa League 19/20? [/INST] Sevilla plays their home games at Ramón Sánchez Pizjuán in the UEFA Europa League 19/20. </s>
When was Sevilla founded?;Sevilla was founded on 01/25/1890.;<s>[INST] When was Sevilla founded? [/INST] Sevilla was founded on 01/25/1890. </s>
In which country is Sevilla based?;Sevilla is based in Spain.;<s>[INST] In which country is Sevilla based? [/INST] Sevilla is based in Spain. </s>
What is the full name of Sevilla?;The full name of Sevilla is Sevilla.;<s>[INST] What is the full name of Sevilla? [/INST] The full name of Sevilla is Sevilla. </s>
Who is the manager of APOEL Nicosia in the UEFA Europa League 19/20?;The manager of APOEL Nicosia in the UEFA Europa League 19/20 is Ricardo Sá Pinto.;<s>[INST] Who is the manager of APOEL Nicosia in the UEFA Europa League 19/20? [/INST] The manager of APOEL Nicosia in the UEFA Europa League 19/20 is Ricardo Sá Pinto. </s>
Where does APOEL Nicosia play their home games in the UEFA Europa League 19/20?;APOEL Nicosia plays their home games at GSP Stadium in the UEFA Europa League 19/20.;<s>[INST] Where does APOEL Nicosia play their home games in the UEFA Europa League 19/20? [/INST] APOEL Nicosia plays their home games at GSP Stadium in the UEFA Europa League 19/20. </s>
When was APOEL Nicosia founded?;APOEL Nicosia was founded on 11/08/1926.;<s>[INST] When was APOEL Nicosia founded? [/INST] APOEL Nicosia was founded on 11/08/1926. </s>
In which country is APOEL Nicosia based?;APOEL Nicosia is based in Cyprus.;<s>[INST] In which country is APOEL Nicosia based? [/INST] APOEL Nicosia is based in Cyprus. </s>
What is the full name of APOEL Nicosia?;The full name of APOEL Nicosia is APOEL Nicosia.;<s>[INST] What is the full name of APOEL Nicosia? [/INST] The full name of APOEL Nicosia is APOEL Nicosia. </s>
Who is the manager of Qarabağ in the UEFA Europa League 19/20?;The manager of Qarabağ in the UEFA Europa League 19/20 is Gurban Gurbanov.;<s>[INST] Who is the manager of Qarabağ in the UEFA Europa League 19/20? [/INST] The manager of Qarabağ in the UEFA Europa League 19/20 is Gurban Gurbanov. </s>
Where does Qarabağ play their home games in the UEFA Europa League 19/20?;Qarabağ plays their home games at Azərsun Arena in the UEFA Europa League 19/20.;<s>[INST] Where does Qarabağ play their home games in the UEFA Europa League 19/20? [/INST] Qarabağ plays their home games at Azərsun Arena in the UEFA Europa League 19/20. </s>
When was Qarabağ founded?;Qarabağ was founded on 06/01/1951.;<s>[INST] When was Qarabağ founded? [/INST] Qarabağ was founded on 06/01/1951. </s>
In which country is Qarabağ based?;Qarabağ is based in Azerbaijan.;<s>[INST] In which country is Qarabağ based? [/INST] Qarabağ is based in Azerbaijan. </s>
What is the full name of Qarabağ?;The full name of Qarabağ is Qarabağ.;<s>[INST] What is the full name of Qarabağ? [/INST] The full name of Qarabağ is Qarabağ. </s>
Who is the manager of F91 Dudelange in the UEFA Europa League 19/20?;The manager of F91 Dudelange in the UEFA Europa League 19/20 is Jamath Shoffner.;<s>[INST] Who is the manager of F91 Dudelange in the UEFA Europa League 19/20? [/INST] The manager of F91 Dudelange in the UEFA Europa League 19/20 is Jamath Shoffner. </s>
Where does F91 Dudelange play their home games in the UEFA Europa League 19/20?;F91 Dudelange plays their home games at Stade Jos Nosbaum in the UEFA Europa League 19/20.;<s>[INST] Where does F91 Dudelange play their home games in the UEFA Europa League 19/20? [/INST] F91 Dudelange plays their home games at Stade Jos Nosbaum in the UEFA Europa League 19/20. </s>
When was F91 Dudelange founded?;F91 Dudelange was founded on 04/26/1991.;<s>[INST] When was F91 Dudelange founded? [/INST] F91 Dudelange was founded on 04/26/1991. </s>
In which country is F91 Dudelange based?;F91 Dudelange is based in Luxembourg.;<s>[INST] In which country is F91 Dudelange based? [/INST] F91 Dudelange is based in Luxembourg. </s>
What is the full name of F91 Dudelange?;The full name of F91 Dudelange is F91 Dudelange.;<s>[INST] What is the full name of F91 Dudelange? [/INST] The full name of F91 Dudelange is F91 Dudelange. </s>
Where does AEK Larnaca play their home games in the UEFA Europa League 18/19?;AEK Larnaca plays their home games at AEK Arena in the UEFA Europa League 18/19.;<s>[INST] Where does AEK Larnaca play their home games in the UEFA Europa League 18/19? [/INST] AEK Larnaca plays their home games at AEK Arena in the UEFA Europa League 18/19. </s>
When was AEK Larnaca founded?;AEK Larnaca was founded on 07/18/1994.;<s>[INST] When was AEK Larnaca founded? [/INST] AEK Larnaca was founded on 07/18/1994. </s>
In which country is AEK Larnaca based?;AEK Larnaca is based in Cyprus.;<s>[INST] In which country is AEK Larnaca based? [/INST] AEK Larnaca is based in Cyprus. </s>
What is the full name of AEK Larnaca?;The full name of AEK Larnaca is AEK Larnaca.;<s>[INST] What is the full name of AEK Larnaca? [/INST] The full name of AEK Larnaca is AEK Larnaca. </s>
Who is the manager of Astana in the UEFA Europa League 17/18?;The manager of Astana in the UEFA Europa League 17/18 is Grigoriy Babayan.;<s>[INST] Who is the manager of Astana in the UEFA Europa League 17/18? [/INST] The manager of Astana in the UEFA Europa League 17/18 is Grigoriy Babayan. </s>
